,country,PC 1,PC 2,PC 3,Class,logPercent_maxNC,logPercent_TC_3mnth
147,Trinidad and Tobago,2.5662133429374068,-0.5927223858897931,-0.21143172535908944,2,-1.9445729855821905,-2.0967520872324603
148,Tunisia,-2.837283329331948,-0.3736902273151884,-0.034447724134380124,0,-2.6887513296795036,-2.4770704738343605
149,Turkey,0.8835475780514649,3.0561750048240364,0.4470100860043088,1,-2.2152346923971673,-1.2536630480934114
150,Uganda,2.1630689945297887,-1.864847158832223,-0.7178298970779434,2,-3.042257558305785,-3.9121176280116776
151,Ukraine,0.09438663561132804,-0.6426041344752669,-0.2877100909900454,2,-2.1182421746970523,-2.688024364344137
152,United Arab Emirates,1.2276322149640977,-0.08431037916195741,-1.9655793898327796,2,-1.9978274718388809,-3.8812705039293576
153,United Kingdom,0.7721145348208084,0.0960516992887786,0.5642386732030171,2,-2.092445285187317,-4.1596823874476785
154,United States,-0.2451725402892551,0.10699567343273957,-1.0742215666112247,0,-1.6253658641678916,-5.343740207749938
155,Uruguay,0.20886216282798986,1.4580530477251228,-2.3298387906614613,2,-2.984493183507194,-1.8668536856403934
156,Uzbekistan,-2.235180562759687,-1.7357602253321986,1.18736922267797,0,-2.4616874846657777,-2.4583193933882503
157,Venezuela,2.657355578177916,-1.6739280785973945,0.2871951951458044,2,-2.124876779562029,-3.177405830838214
158,Vietnam,0.10919483203744793,-2.1577414138918978,0.3525145185053542,2,-4.289315015404219,-4.784165037084312
159,Yemen,-3.2009447687126253,-0.19286016172203296,-1.4395790658501009,0,-3.4101365583455174,-3.9431156305301807
160,Zambia,-2.0856673920400133,-0.8642298548803137,-0.8695887096876427,0,-2.542628356696281,-3.5484356282740284
161,Zimbabwe,2.2098990153094267,-1.6604284337044946,-0.9978645638039124,2,-2.481908264710424,-3.7741643360669004
